Agency	General Type	Granular Type	Latitude	Longitude	County	"June 30, 2016 Accrued Liability (AL)"	"June 30, 2016 Market Value of Assets (MVA)"	"June 30, 2016 Unfunded Accrued Liability (UAL)"	2017-18 Estimated Total Employer Contribution	2018-19 Estimated Total Employer Contribution	2019-20 Estimated Total Employer Contribution	2020-21 Estimated Total Employer Contribution	2021-22 Estimated Total Employer Contribution	2022-23 Estimated Total Employer Contribution	2023-24 Estimated Total Employer Contribution	2024-25 Estimated Total Employer Contribution
COUNTY OF SANTA CLARA	COUNTY		37.3336581	-121.8907041	0	"12,34,11,67,574"	"8,42,96,99,307"	"3,91,14,68,267"	"35,83,39,420"	"41,77,07,981"	"48,00,94,540"	"54,34,50,964"	"59,64,20,453"	"64,41,70,486"	"67,91,94,961"	"71,03,61,950"
COUNTY OF RIVERSIDE	COUNTY		33.9532966	-117.3961192	0	"9,96,03,98,227"	"6,95,15,58,411"	"3,00,88,39,816"	"28,33,08,368"	"34,20,10,562"	"40,29,19,261"	"46,90,76,097"	"52,07,27,490"	"56,56,71,115"	"59,69,62,338"	"62,47,53,718"
CITY OF LONG BEACH	CITY		33.7700504	-118.1937395	LOS ANGELES COUNTY	"4,75,17,81,578"	"3,60,56,25,239"	"1,14,61,56,339"	"10,08,37,480"	"11,80,22,901"	"13,93,54,455"	"15,72,39,716"	"17,37,95,797"	"18,86,87,591"	"20,00,01,769"	"20,98,73,052"
CITY OF OAKLAND	CITY		37.8043637	-122.2711137	ALAMEDA COUNTY	"4,39,21,48,886"	"2,81,39,18,428"	"1,57,82,30,458"	"13,82,41,616"	"15,81,83,011"	"18,00,58,121"	"20,05,14,992"	"21,89,43,322"	"23,55,85,692"	"24,79,17,902"	"23,93,54,809"
CITY OF SACRAMENTO	CITY		38.5815719	-121.4943996	SACRAMENTO COUNTY	"2,84,46,84,589"	"1,94,14,13,643"	"90,32,70,946"	"7,99,04,022"	"9,28,05,652"	"10,68,71,202"	"12,11,05,204"	"13,33,26,890"	"14,41,71,177"	"15,20,74,402"	"15,92,30,944"
SAN FRANCISCO BAY AREA RAPID TRANSIT DISTRICT	SPECIAL DISTRICT/AUTHORITY	TRANSPORTATION DISTRICT/AUTHORITY	0	0	ALAMEDA COUNTY	"2,48,77,08,607"	"1,79,48,22,286"	"69,28,86,321"	"6,11,71,761"	"7,32,13,821"	"8,58,47,495"	"9,71,49,944"	"10,73,65,292"	"11,63,63,981"	"12,26,46,010"	"12,62,04,411"
CITY OF ANAHEIM	CITY		33.8365932	-117.9143012	ORANGE COUNTY	"2,40,84,09,099"	"1,65,31,91,259"	"75,52,17,840"	"6,66,77,738"	"7,71,02,389"	"8,83,77,862"	"9,87,21,113"	"10,83,41,726"	"11,73,17,818"	"12,37,39,362"	"12,94,39,363"
COUNTY OF MONTEREY	COUNTY		36.3136201	-121.3541631	0	"2,25,89,40,667"	"1,63,30,31,099"	"62,59,09,568"	"6,32,56,780"	"7,32,20,158"	"8,44,27,880"	"9,62,59,258"	"10,60,52,385"	"11,48,40,557"	"12,12,45,004"	"12,69,19,994"
CITY OF RIVERSIDE	CITY		33.9533487	-117.3961564	RIVERSIDE COUNTY	"2,24,69,22,892"	"1,64,37,15,080"	"60,32,07,812"	"5,64,32,437"	"6,50,85,614"	"7,55,43,730"	"8,53,97,406"	"9,42,49,158"	"10,21,85,632"	"10,80,71,811"	"11,14,66,706"
METROPOLITAN WATER DISTRICT OF SOUTHERN CALIFORNIA	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	34.1114259	-117.7821561	0	"2,16,62,85,855"	"1,52,36,92,793"	"64,25,93,062"	"4,95,66,822"	"5,80,44,351"	"6,75,66,398"	"7,63,35,279"	"8,44,94,258"	"9,18,23,935"	"9,70,46,933"	"10,16,44,891"
