Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
ACADEMIC SENATE FOR CALIFORNIA COMMUNITY COLLEGES,,,38.5802346,-121.5062592,0,"14,11,601","10,96,139","3,15,462","72,125","77,021","84,658","95,675","85,584","91,645","95,058","99,076",,"84,658","93,675","83,726","68,798",,"84,658","97,675","90,784","1,02,845"
ACCESS SERVICES INCORPORATED,,,45.268384,-75.960779,0,"1,45,20,582","1,13,35,856","31,84,726","6,12,308","6,93,668","6,52,467","7,50,693","8,19,186","8,82,340","9,29,670","9,71,490",,"6,52,467","7,31,993","7,93,908","8,32,495",,"6,52,467","7,69,493","8,75,486","9,95,340"
AGOURA HILLS AND CALABASAS COMMUNITY CENTER,,,34.136308,-118.713294,0,"14,52,858","11,41,812","3,11,046","49,756","57,049","65,802","75,612","82,130","88,694","93,305","97,964",,"65,802","73,612","80,197","83,537",,"65,802","77,612","88,130","99,694"
ALAMEDA ALLIANCE FOR HEALTH,,,37.7240394,-122.2330381,ALAMEDA COUNTY,"2,97,33,872","2,90,77,826","6,56,046","13,87,048","16,65,407","18,21,991","20,82,597","22,01,355","23,24,876","24,53,212","25,68,419",,"18,21,991","20,31,597","21,30,690","23,34,692",,"18,21,991","21,36,597","23,66,355","26,63,876"
ALAMEDA CORRIDOR TRANSPORTATION AUTHORITY,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,33.807961,-118.1463933,ALAMEDA COUNTY,"80,82,640","60,49,091","20,33,549","2,71,764","2,34,211","2,74,511","3,15,625","3,49,564","3,79,651","4,01,890","4,21,287",,"2,74,511","3,06,625","3,28,984","3,39,674",,"2,74,511","3,25,625","3,79,564","4,40,651"
ALAMEDA COUNTY FIRE DEPARTMENT,,,37.7044036,-121.9196721,ALAMEDA COUNTY,"41,08,41,491","29,83,08,480","11,25,33,011","1,52,26,144","1,61,89,042","1,83,68,034","2,07,71,600","2,26,69,975","2,44,07,779","2,56,81,838","2,68,26,491",,"1,83,68,034","2,02,98,200","2,17,82,072","2,26,58,395",,"1,83,68,034","2,12,69,000","2,41,67,175","2,74,24,979"
ALAMEDA COUNTY LAW LIBRARY,,,37.7998554,-122.2644896,ALAMEDA COUNTY,"59,36,031","48,80,183","10,55,848","78,398","1,02,222","1,29,432","1,54,492","1,77,817","1,97,916","2,11,321","2,22,723",,"1,29,432","1,46,432","1,59,234","84,735",,"1,29,432","1,62,542","2,01,957","2,46,246"
ALAMEDA COUNTY MOSQUITO ABATEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,37.643156,-122.129984,ALAMEDA COUNTY,"1,21,64,188","92,53,548","29,10,640","2,38,497","3,02,672","3,57,088","4,08,514","4,57,524","4,99,294","5,29,427","5,56,630",,"3,57,088","3,94,414","4,21,044","4,27,083",,"3,57,088","4,23,714","5,01,924","5,90,094"
ALAMEDA COUNTY SCHOOLS INSURANCE GROUP,,,37.4865732,-122.2233997,ALAMEDA COUNTY,"27,47,062","18,14,925","9,32,137","86,004","98,269","1,11,108","1,22,767","1,33,954","1,24,182","1,31,414","1,37,650",,"1,11,108","1,19,747","1,26,982","1,09,251",,"1,11,108","1,25,787","1,43,014","1,42,292"
ALAMEDA COUNTY TRANSPORTATION COMMISSION,SPECIAL DISTRICT/AUTHORITY,,37.802791,-122.272695,ALAMEDA COUNTY,"1,89,45,766","1,35,35,179","54,10,587","5,14,025","6,39,641","7,29,681","8,21,827","9,01,859","9,73,822","10,27,325","10,74,980",,"7,29,681","8,00,727","8,55,641","8,78,082",,"7,29,681","8,44,027","9,69,259","11,09,522"
ALAMEDA COUNTY WASTE MANAGEMENT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,37.7283851,-122.1936919,ALAMEDA COUNTY,"2,50,86,382","1,90,31,485","60,54,897","7,22,233","8,08,195","9,33,591","10,69,442","11,76,191","12,72,564","13,43,376","14,05,743",,"9,33,591","10,39,342","11,20,545","11,52,025",,"9,33,591","11,00,542","12,70,491","14,63,064"
ALAMEDA COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,37.5054595,-121.9602709,ALAMEDA COUNTY,"23,92,81,584","15,47,50,255","8,45,31,329","78,85,613","88,63,281","1,00,22,520","1,11,12,351","1,20,64,691","1,29,53,282","1,28,63,220","1,34,59,607",,"1,00,22,520","1,08,70,351","1,15,02,595","1,18,45,296",,"1,00,22,520","1,13,67,351","1,28,29,691","1,44,91,282"
ALLIANCE OF SCHOOLS FOR COOPERATIVE INSURANCE PROGRAMS,,,33.8807858,-118.0635468,0,"84,53,689","65,40,280","19,13,409","3,83,717","4,45,983","4,63,163","5,30,511","5,72,799","6,12,431","6,43,118","6,70,170",,"4,63,163","5,19,311","5,61,010","5,93,063",,"4,63,163","5,40,711","6,05,399","6,77,631"
ALPINE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,32.8360098,-116.7771497,0,"1,95,67,514","1,37,90,831","57,76,683","5,52,996","6,24,131","7,21,817","8,16,754","8,97,055","9,68,534","10,23,110","10,70,943",,"7,21,817","7,93,854","8,48,775","8,71,725",,"7,21,817","8,37,163","9,63,645","11,02,644"
ALPINE SPRINGS COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,39.1893535,-120.1987226,0,"53,344","48,622","4,722","13,884","16,091","16,490","17,805","18,582","19,274","18,200","18,882",,"16,490","17,805","18,844","18,062",,"16,490","17,905","18,782","19,774"
"ALTA CALIFORNIA REGIONAL CENTER, INC.",,,38.607392,-121.4359332,0,"8,36,30,855","6,25,54,043","2,10,76,812","24,69,983","28,50,986","32,77,024","37,79,105","41,43,858","44,88,524","47,45,160","49,71,824",,"32,77,024","36,77,105","39,74,366","41,39,810",,"32,77,024","38,87,105","44,70,858","51,52,524"
ALTA IRRIGATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,IRRIGATION DISTRICT,36.5425335,-119.3924685,0,"87,92,543","67,04,627","20,87,916","1,62,724","2,04,018","2,45,005","2,81,168","3,16,688","3,47,408","3,67,700","3,85,478",,"2,45,005","2,71,168","2,90,308","2,91,250",,"2,45,005","2,92,268","3,49,888","4,14,708"
ALTADENA LIBRARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,LIBRARY DISTRICT,34.1891916,-118.1372135,0,"85,12,042","62,94,391","22,17,651","1,93,304","2,39,386","2,78,986","3,15,287","3,50,323","3,81,513","4,02,723","4,22,735",,"2,78,986","3,06,147","3,24,757","3,31,496",,"2,78,986","3,26,517","3,82,023","4,44,813"
AMADOR COUNTY TRANSPORTATION COMMISSION,SPECIAL DISTRICT/AUTHORITY,,38.379269,-120.808099,AMADOR COUNTY,"9,85,896","7,87,110","1,98,786","33,925","44,381","49,944","56,930","61,313","65,632","67,746","71,159",,"49,944","55,830","58,979","61,133",,"49,944","57,930","65,413","74,032"
AMADOR TRANSIT,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,38.375872,-120.80045,0,"38,79,045","28,43,877","10,35,168","1,15,818","1,28,857","1,46,750","1,65,696","1,82,439","1,97,252","2,05,638","2,15,498",,"1,46,750","1,61,596","1,71,938","1,74,625",,"1,46,750","1,70,796","1,96,739","2,25,752"
AMADOR WATER AGENCY,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,38.3826956,-120.7883408,0,"1,76,91,438","1,31,39,911","45,51,527","5,06,354","5,77,891","6,59,670","7,45,847","8,20,184","7,66,969","8,10,533","8,50,292",,"6,59,670","7,25,097","7,70,754","6,70,283",,"6,59,670","7,67,077","8,85,874","8,97,269"
AMERICAN CANYON FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.1717443,-122.2484825,0,"2,36,50,984","1,66,00,767","70,50,217","8,01,675","9,11,928","10,30,382","9,74,865","10,72,057","11,39,848","12,04,050","12,60,374",,"10,30,382","9,48,565","10,14,455","10,23,058",,"10,30,382","10,01,265","11,53,057","13,01,748"
